,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
116,6,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.4033825668768866,6.5440000000000005,0.0,0.0666484684491766,0.1370511742294579,0.15,5,3,1.0,2,60,1.5,Scott
117,7,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.45816837515788983,6.5440000000000005,0.0,0.0913583302918664,0.106897037357724,0.15,5,3,1.0,2,60,1.5,Scott
118,8,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.44981709076920273,6.5440000000000005,0.0,0.12580389805788,0.0813250795760984,0.15,5,3,1.0,2,60,1.5,Scott
119,2,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.03615718020097076,4.59,0.0,0.1125674588491821,0.1008527564114192,0.11,5,3,1.0,2,50,0.0,Tóth.A
120,3,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.04102603741041751,4.59,0.0,0.0868115421288974,0.1505039488203032,0.11,5,3,1.0,2,50,0.0,Tóth.A
121,4,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.039849542275244156,4.59,0.0,0.0799410827800721,0.11894441711009,0.11,5,3,1.0,2,50,0.0,Tóth.A
122,5,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.03418550690812335,4.59,0.0,0.0746710624183,0.1250281268953073,0.11,5,3,1.0,2,50,0.0,Tóth.A
123,6,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.025045311961665387,4.59,0.0,0.0666484684491766,0.1370511742294579,0.11,5,3,1.0,2,50,0.0,Tóth.A
124,7,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.031127775995659347,4.59,0.0,0.0913583302918664,0.106897037357724,0.11,5,3,1.0,2,50,0.0,Tóth.A
125,8,Alex_Tóth,MID,91,8.69537906,0.0075556064481689,0.008936415923364,0.0,0.030127583090788,4.59,0.0,0.12580389805788,0.0813250795760984,0.11,5,3,1.0,2,50,0.0,Tóth.A
126,2,Alexander_Isak,FWD,14,80.35194330705359,0.20766189755570977,0.056959012326676245,0.05,0.032511470609795,1.0,0.0,0.3360527308357868,0.1018826295226771,0.02,4,3,0.0,2,90,17.0,Isak
127,3,Alexander_Isak,FWD,14,80.35194330705359,0.2076114747339849,0.05694352156712054,0.05,0.010115363508502262,1.0,0.0,0.2596902916391163,0.110659232488688,0.02,4,3,0.0,2,90,17.0,Isak
128,4,Alexander_Isak,FWD,14,80.35194330705359,0.2076114747339849,0.05694352156712054,0.05,0.022342085925746574,1.0,0.0,0.288265809976038,0.0860449707873814,0.02,4,3,0.0,2,90,17.0,Isak
129,5,Alexander_Isak,FWD,14,80.35194330705359,0.2076114747339849,0.05694352156712054,0.05,0.039756546385852645,1.0,0.0,0.2938214743914772,0.126353956137866,0.02,4,3,0.0,2,90,17.0,Isak
