opponent,pos_group,Threat,Goal_Threat,Assist_Threat,Understat_XG_Against,Understat_XA_Against,N_players_avg,Rolling_Goals_Against_Per_Position_20,npxG_ewm,xA_ewm
Nott'm Forest,DR,0.020525693025293338,0.020525693025293338,0.09239085946359812,0.026181643743393664,0.10065371157497352,1.0,0.05,0.026181643743393664,0.10065371157497352
Nott'm Forest,FW,0.30792168172096057,0.30792168172096057,0.050335259984330964,0.39277094136360485,0.05483692618435185,1.1210606961971086,0.35,0.39277094136360485,0.05483692618435185
Nott'm Forest,LW,0.1738124069656996,0.1738124069656996,0.15202339539488002,0.22170722867919665,0.1656194030617636,1.0,0.15,0.22170722867919665,0.1656194030617636
Nott'm Forest,MC,0.11532223880386282,0.11532223880386282,0.18079077467240173,0.12357085780151521,0.17389136195992222,2.3340285586385736,0.3,0.12357085780151521,0.17389136195992222
Nott'm Forest,RW,0.07748688321465294,0.07748688321465294,0.1992858646695535,0.0988387563144412,0.2171087276368677,1.0,0.15,0.0988387563144412,0.2171087276368677
Sheffield Utd,AMC,0.16720430802472183,0.16720430802472183,0.18488447048426396,0.31914642439718965,0.3067139383248779,1.1434887305052148,0.45,0.31914642439718965,0.3067139383248779
Sheffield Utd,CB,0.030622654504777237,0.030622654504777237,0.021847996055224247,0.05845011295585252,0.03624471485924273,2.113721576510402,0.1,0.05845011295585252,0.03624471485924273
Sheffield Utd,DL,0.025733003713163196,0.025733003713163196,0.07809358211844854,0.049117132333943055,0.12955328301348745,1.0,0.05,0.049117132333943055,0.12955328301348745
Sheffield Utd,DM,0.07726723023152879,0.07726723023152879,0.10168417667088016,0.14748160823596024,0.16868888019831188,2.0,0.35294117647058826,0.14748160823596024,0.16868888019831188
Sheffield Utd,DR,0.019532486908936414,0.019532486908936414,0.07301021299007256,0.03728207383059945,0.121120232031761,1.0,0.2,0.03728207383059945,0.121120232031761
Sheffield Utd,FW,0.23051438292696544,0.23051438292696544,0.07654695051046148,0.4399877129504839,0.1269874997955626,1.1096632539492213,0.6,0.4399877129504839,0.1269874997955626
Sheffield Utd,LW,0.14445546467109247,0.14445546467109247,0.12214683461375589,0.2757252225080067,0.20263538954988256,1.0,0.25,0.2757252225080067,0.20263538954988256
Sheffield Utd,MC,0.07577671247370897,0.07577671247370897,0.08575089898922658,0.15074847718170561,0.14379944314700122,2.507469374977293,0.55,0.15074847718170561,0.14379944314700122
Sheffield Utd,RW,0.14402723652795393,0.14402723652795393,0.18084578964301248,0.27490785432937875,0.30001397210698566,1.0,0.3,0.27490785432937875,0.30001397210698566
Southampton,AMC,0.15800951655000675,0.15800951655000675,0.14423236906248207,0.32723196795353493,0.25046518221247505,1.211257242369187,0.35,0.32723196795353493,0.25046518221247505
Southampton,CB,0.03179924461169002,0.03179924461169002,0.01746875599476497,0.06585508025667536,0.030335181913005042,2.1610765600423987,0.15,0.06585508025667536,0.030335181913005042
Southampton,DL,0.031717785326194264,0.031717785326194264,0.07384719943737555,0.06568638103600259,0.12823856657967422,1.0,0.15,0.06568638103600259,0.12823856657967422
Southampton,DM,0.05390694421420789,0.05390694421420789,0.09153487081040851,0.11163932291378127,0.15895390365801007,1.9190149009224475,0.15,0.11163932291378127,0.15895390365801007
